feature,importance
Dependents,26.060571342696218
Contract_Label,22.598870328154373
Tenure,9.698658340301982
MonthlyCharges,7.869814806089492
TotalCharges,7.521030453866908
monthly_charges_ratio,6.0647121036519716
InternetService,4.086417838199158
tenure_group,3.4005979407541447
PaymentMethod,2.685503164526014
is_paperless_electronic,2.527059861961655
Partner,1.799850305049696
service_diversity,1.7819873189308388
OnlineSecurity,0.9833005398072682
PaperlessBilling,0.8926636156230536
TechSupport,0.6926054944233776
OnlineBackup,0.5608941782365795
SeniorCitizen,0.5229983955571275
DeviceProtection,0.25246397217014005
