feature,importance
MonthlyCharges,0.13890230113381485
TotalCharges,0.13816552630520876
monthly_charges_ratio,0.13541480714840565
Tenure,0.12752709678278923
Contract_Label,0.11019813474995509
Dependents,0.05235149553354688
tenure_group,0.05064264583196819
is_paperless_electronic,0.03482224617645345
PaymentMethod,0.034413945524411745
InternetService,0.03354444421711545
service_diversity,0.033258630711663996
Partner,0.02025010469252646
PaperlessBilling,0.018484549605724022
OnlineSecurity,0.01650994045797253
SeniorCitizen,0.015248512152223155
TechSupport,0.014422802597991415
OnlineBackup,0.01395494570175771
DeviceProtection,0.011887870676471539
